timestamp,value,hour
2015-02-26 22:00:00,365.0,22
2015-02-26 23:00:00,332.0,23
2015-02-27 00:00:00,581.0,0
2015-02-27 01:00:00,387.0,1
2015-02-27 02:00:00,442.0,2
2015-02-27 03:00:00,863.0,3
2015-02-27 04:00:00,255.0,4
2015-02-27 05:00:00,224.0,5
2015-02-27 06:00:00,185.0,6
2015-02-27 07:00:00,189.0,7
2015-02-27 08:00:00,177.0,8
2015-02-27 09:00:00,221.0,9
2015-02-27 10:00:00,247.0,10
2015-02-27 11:00:00,204.0,11
2015-02-27 12:00:00,275.0,12
2015-02-27 13:00:00,197.0,13
2015-02-27 14:00:00,322.0,14
2015-02-27 15:00:00,281.0,15
2015-02-27 16:00:00,367.0,16
2015-02-27 17:00:00,471.0,17
2015-02-27 18:00:00,950.0,18
2015-02-27 19:00:00,550.0,19
2015-02-27 20:00:00,688.0,20
2015-02-27 21:00:00,453.0,21
2015-02-27 22:00:00,314.0,22
2015-02-27 23:00:00,433.0,23
2015-02-28 00:00:00,353.0,0
2015-02-28 01:00:00,192.0,1
2015-02-28 02:00:00,178.0,2
2015-02-28 03:00:00,128.0,3
2015-02-28 04:00:00,136.0,4
2015-02-28 05:00:00,178.0,5
2015-02-28 06:00:00,154.0,6
2015-02-28 07:00:00,110.0,7
2015-02-28 08:00:00,107.0,8
2015-02-28 09:00:00,114.0,9
2015-02-28 10:00:00,133.0,10
2015-02-28 11:00:00,154.0,11
2015-02-28 12:00:00,201.0,12
2015-02-28 13:00:00,162.0,13
2015-02-28 14:00:00,221.0,14
2015-02-28 15:00:00,230.0,15
2015-02-28 16:00:00,234.0,16
2015-02-28 17:00:00,218.0,17
2015-02-28 18:00:00,195.0,18
2015-02-28 19:00:00,294.0,19
2015-02-28 20:00:00,206.0,20
2015-02-28 21:00:00,184.0,21
2015-02-28 22:00:00,149.0,22
2015-02-28 23:00:00,142.0,23
2015-03-01 00:00:00,118.0,0
2015-03-01 01:00:00,115.0,1
2015-03-01 02:00:00,91.0,2
2015-03-01 03:00:00,127.0,3
2015-03-01 04:00:00,98.0,4
2015-03-01 05:00:00,79.0,5
2015-03-01 06:00:00,103.0,6
2015-03-01 07:00:00,79.0,7
2015-03-01 08:00:00,99.0,8
2015-03-01 09:00:00,106.0,9
2015-03-01 10:00:00,148.0,10
2015-03-01 11:00:00,212.0,11
2015-03-01 12:00:00,159.0,12
2015-03-01 13:00:00,135.0,13
2015-03-01 14:00:00,172.0,14
2015-03-01 15:00:00,155.0,15
2015-03-01 16:00:00,181.0,16
2015-03-01 17:00:00,204.0,17
2015-03-01 18:00:00,151.0,18
2015-03-01 19:00:00,134.0,19
2015-03-01 20:00:00,138.0,20
2015-03-01 21:00:00,159.0,21
2015-03-01 22:00:00,117.0,22
2015-03-01 23:00:00,141.0,23
2015-03-02 00:00:00,118.0,0
2015-03-02 01:00:00,135.0,1
2015-03-02 02:00:00,109.0,2
2015-03-02 03:00:00,99.0,3
2015-03-02 04:00:00,153.0,4
2015-03-02 05:00:00,123.0,5
2015-03-02 06:00:00,109.0,6
2015-03-02 07:00:00,138.0,7
2015-03-02 08:00:00,202.0,8
2015-03-02 09:00:00,128.0,9
2015-03-02 10:00:00,155.0,10
2015-03-02 11:00:00,168.0,11
2015-03-02 12:00:00,282.0,12
2015-03-02 13:00:00,315.0,13
2015-03-02 14:00:00,265.0,14
2015-03-02 15:00:00,520.0,15
2015-03-02 16:00:00,439.0,16
2015-03-02 17:00:00,395.0,17
2015-03-02 18:00:00,390.0,18
2015-03-02 19:00:00,553.0,19
2015-03-02 20:00:00,483.0,20
2015-03-02 21:00:00,362.0,21
2015-03-02 22:00:00,298.0,22
2015-03-02 23:00:00,222.0,23
2015-03-03 00:00:00,290.0,0
2015-03-03 01:00:00,258.0,1
2015-03-03 02:00:00,226.0,2
2015-03-03 03:00:00,196.0,3
2015-03-03 04:00:00,166.0,4
2015-03-03 05:00:00,122.0,5
2015-03-03 06:00:00,142.0,6
2015-03-03 07:00:00,140.0,7
2015-03-03 08:00:00,158.0,8
2015-03-03 09:00:00,160.0,9
2015-03-03 10:00:00,160.0,10
2015-03-03 11:00:00,192.0,11
2015-03-03 12:00:00,242.0,12
2015-03-03 13:00:00,269.0,13
2015-03-03 14:00:00,391.0,14
2015-03-03 15:00:00,269.0,15
2015-03-03 16:00:00,333.0,16
2015-03-03 17:00:00,361.0,17
2015-03-03 18:00:00,375.0,18
2015-03-03 19:00:00,365.0,19
2015-03-03 20:00:00,333.0,20
2015-03-03 21:00:00,382.0,21
2015-03-03 22:00:00,300.0,22
2015-03-03 23:00:00,268.0,23
2015-03-04 00:00:00,188.0,0
2015-03-04 01:00:00,158.0,1
2015-03-04 02:00:00,175.0,2
2015-03-04 03:00:00,162.0,3
2015-03-04 04:00:00,197.0,4
2015-03-04 05:00:00,145.0,5
2015-03-04 06:00:00,129.0,6
2015-03-04 07:00:00,140.0,7
2015-03-04 08:00:00,217.0,8
2015-03-04 09:00:00,347.0,9
2015-03-04 10:00:00,375.0,10
2015-03-04 11:00:00,267.0,11
2015-03-04 12:00:00,252.0,12
2015-03-04 13:00:00,275.0,13
2015-03-04 14:00:00,798.0,14
2015-03-04 15:00:00,558.0,15
2015-03-04 16:00:00,514.0,16
2015-03-04 17:00:00,402.0,17
2015-03-04 18:00:00,333.0,18
2015-03-04 19:00:00,397.0,19
2015-03-04 20:00:00,330.0,20
2015-03-04 21:00:00,268.0,21
2015-03-04 22:00:00,193.0,22
2015-03-04 23:00:00,243.0,23
2015-03-05 00:00:00,215.0,0
2015-03-05 01:00:00,196.0,1
2015-03-05 02:00:00,216.0,2
2015-03-05 03:00:00,176.0,3
2015-03-05 04:00:00,252.0,4
2015-03-05 05:00:00,217.0,5
2015-03-05 06:00:00,148.0,6
2015-03-05 07:00:00,207.0,7
2015-03-05 08:00:00,209.0,8
2015-03-05 09:00:00,243.0,9
2015-03-05 10:00:00,187.0,10
2015-03-05 11:00:00,227.0,11
2015-03-05 12:00:00,329.0,12
2015-03-05 13:00:00,767.0,13
2015-03-05 14:00:00,298.0,14
2015-03-05 15:00:00,495.0,15
2015-03-05 16:00:00,428.0,16
2015-03-05 17:00:00,390.0,17
2015-03-05 18:00:00,289.0,18
2015-03-05 19:00:00,318.0,19
2015-03-05 20:00:00,596.0,20
2015-03-05 21:00:00,437.0,21
2015-03-05 22:00:00,292.0,22
2015-03-05 23:00:00,337.0,23
2015-03-06 00:00:00,314.0,0
2015-03-06 01:00:00,301.0,1
2015-03-06 02:00:00,256.0,2
2015-03-06 03:00:00,259.0,3
2015-03-06 04:00:00,193.0,4
2015-03-06 05:00:00,142.0,5
2015-03-06 06:00:00,165.0,6
2015-03-06 07:00:00,139.0,7
2015-03-06 08:00:00,174.0,8
2015-03-06 09:00:00,147.0,9
2015-03-06 10:00:00,164.0,10
2015-03-06 11:00:00,179.0,11
2015-03-06 12:00:00,237.0,12
2015-03-06 13:00:00,319.0,13
2015-03-06 14:00:00,278.0,14
2015-03-06 15:00:00,312.0,15
2015-03-06 16:00:00,306.0,16
2015-03-06 17:00:00,266.0,17
2015-03-06 18:00:00,319.0,18
2015-03-06 19:00:00,284.0,19
2015-03-06 20:00:00,528.0,20
2015-03-06 21:00:00,406.0,21
2015-03-06 22:00:00,360.0,22
2015-03-06 23:00:00,308.0,23
2015-03-07 00:00:00,194.0,0
2015-03-07 01:00:00,184.0,1
2015-03-07 02:00:00,179.0,2
2015-03-07 03:00:00,120.0,3
2015-03-07 04:00:00,113.0,4
2015-03-07 05:00:00,152.0,5
2015-03-07 06:00:00,126.0,6
2015-03-07 07:00:00,138.0,7
2015-03-07 08:00:00,133.0,8
2015-03-07 09:00:00,116.0,9
2015-03-07 10:00:00,92.0,10
2015-03-07 11:00:00,142.0,11
2015-03-07 12:00:00,156.0,12
2015-03-07 13:00:00,137.0,13
2015-03-07 14:00:00,138.0,14
2015-03-07 15:00:00,154.0,15
2015-03-07 16:00:00,160.0,16
2015-03-07 17:00:00,178.0,17
2015-03-07 18:00:00,170.0,18
2015-03-07 19:00:00,148.0,19
2015-03-07 20:00:00,175.0,20
2015-03-07 21:00:00,220.0,21
2015-03-07 22:00:00,149.0,22
2015-03-07 23:00:00,156.0,23
2015-03-08 00:00:00,136.0,0
2015-03-08 01:00:00,121.0,1
2015-03-08 02:00:00,131.0,2
2015-03-08 03:00:00,108.0,3
2015-03-08 04:00:00,122.0,4
2015-03-08 05:00:00,92.0,5
2015-03-08 06:00:00,103.0,6
2015-03-08 07:00:00,91.0,7
2015-03-08 08:00:00,117.0,8
2015-03-08 09:00:00,136.0,9
2015-03-08 10:00:00,101.0,10
2015-03-08 11:00:00,127.0,11
2015-03-08 12:00:00,171.0,12
2015-03-08 13:00:00,173.0,13
2015-03-08 14:00:00,183.0,14
2015-03-08 15:00:00,307.0,15
2015-03-08 16:00:00,227.0,16
2015-03-08 17:00:00,621.0,17
2015-03-08 18:00:00,409.0,18
2015-03-08 19:00:00,318.0,19
2015-03-08 20:00:00,437.0,20
2015-03-08 21:00:00,249.0,21
2015-03-08 22:00:00,181.0,22
2015-03-08 23:00:00,137.0,23
2015-03-09 00:00:00,131.0,0
2015-03-09 01:00:00,276.0,1
2015-03-09 02:00:00,215.0,2
2015-03-09 03:00:00,157.0,3
2015-03-09 04:00:00,164.0,4
2015-03-09 05:00:00,118.0,5
2015-03-09 06:00:00,219.0,6
2015-03-09 07:00:00,151.0,7
2015-03-09 08:00:00,127.0,8
2015-03-09 09:00:00,124.0,9
2015-03-09 10:00:00,229.0,10
2015-03-09 11:00:00,182.0,11
2015-03-09 12:00:00,192.0,12
2015-03-09 13:00:00,277.0,13
2015-03-09 14:00:00,263.0,14
2015-03-09 15:00:00,273.0,15
2015-03-09 16:00:00,375.0,16
2015-03-09 17:00:00,326.0,17
2015-03-09 18:00:00,299.0,18
2015-03-09 19:00:00,297.0,19
2015-03-09 20:00:00,274.0,20
